,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
39,37,administrative,single,secondary,False,0,yes,False,unknown,5,may,137,1,-1,0,unknown,False
40,44,services,divorced,secondary,False,2586,yes,False,unknown,5,may,160,1,-1,0,unknown,False
41,50,management,married,secondary,False,49,yes,False,unknown,5,may,180,2,-1,0,unknown,False
42,60,blue-collar,married,unknown,False,104,yes,False,unknown,5,may,22,1,-1,0,unknown,False
43,54,retired,married,secondary,False,529,yes,False,unknown,5,may,1492,1,-1,0,unknown,False
44,58,retired,married,unknown,False,96,yes,False,unknown,5,may,616,1,-1,0,unknown,False
45,36,administrative,single,primary,False,-171,yes,False,unknown,5,may,242,1,-1,0,unknown,False
46,58,self-employed,married,tertiary,False,-364,yes,False,unknown,5,may,355,1,-1,0,unknown,False
47,44,technician,married,secondary,False,0,yes,False,unknown,5,may,225,2,-1,0,unknown,False
48,55,technician,divorced,secondary,False,0,no,False,unknown,5,may,160,1,-1,0,unknown,False
49,29,management,single,tertiary,False,0,yes,False,unknown,5,may,363,1,-1,0,unknown,False
50,54,blue-collar,married,secondary,False,1291,yes,False,unknown,5,may,266,1,-1,0,unknown,False
51,48,management,divorced,tertiary,False,-244,yes,False,unknown,5,may,253,1,-1,0,unknown,False
52,32,management,married,tertiary,False,0,yes,False,unknown,5,may,179,1,-1,0,unknown,False
53,42,administrative,single,secondary,False,-76,yes,False,unknown,5,may,787,1,-1,0,unknown,False
54,24,technician,single,secondary,False,-103,yes,True,unknown,5,may,145,1,-1,0,unknown,False
55,38,entrepreneur,single,tertiary,False,243,no,True,unknown,5,may,174,1,-1,0,unknown,False
56,38,management,single,tertiary,False,424,yes,False,unknown,5,may,104,1,-1,0,unknown,False
57,47,blue-collar,married,unknown,False,306,yes,False,unknown,5,may,13,1,-1,0,unknown,False
58,40,blue-collar,single,unknown,False,24,yes,False,unknown,5,may,185,1,-1,0,unknown,False
59,46,services,married,primary,False,179,yes,False,unknown,5,may,1778,1,-1,0,unknown,False
60,32,administrative,married,tertiary,False,0,yes,False,unknown,5,may,138,1,-1,0,unknown,False
61,53,technician,divorced,secondary,False,989,yes,False,unknown,5,may,812,1,-1,0,unknown,False
62,57,blue-collar,married,primary,False,249,yes,False,unknown,5,may,164,1,-1,0,unknown,False
63,33,services,married,secondary,False,790,yes,False,unknown,5,may,391,1,-1,0,unknown,False
64,49,blue-collar,married,unknown,False,154,yes,False,unknown,5,may,357,1,-1,0,unknown,False
65,51,management,married,tertiary,False,6530,yes,False,unknown,5,may,91,1,-1,0,unknown,False
66,60,retired,married,tertiary,False,100,no,False,unknown,5,may,528,1,-1,0,unknown,False
67,59,management,divorced,tertiary,False,59,yes,False,unknown,5,may,273,1,-1,0,unknown,False
68,55,technician,married,secondary,False,1205,yes,False,unknown,5,may,158,2,-1,0,unknown,False
69,35,blue-collar,single,secondary,False,12223,yes,True,unknown,5,may,177,1,-1,0,unknown,False
70,57,blue-collar,married,secondary,False,5935,yes,True,unknown,5,may,258,1,-1,0,unknown,False
71,31,services,married,secondary,False,25,yes,True,unknown,5,may,172,1,-1,0,unknown,False
72,54,management,married,secondary,False,282,yes,True,unknown,5,may,154,1,-1,0,unknown,False
73,55,blue-collar,married,primary,False,23,yes,False,unknown,5,may,291,1,-1,0,unknown,False
74,43,technician,married,secondary,False,1937,yes,False,unknown,5,may,181,1,-1,0,unknown,False
75,53,technician,married,secondary,False,384,yes,False,unknown,5,may,176,1,-1,0,unknown,False
76,44,blue-collar,married,secondary,False,582,no,True,unknown,5,may,211,1,-1,0,unknown,False
77,55,services,divorced,secondary,False,91,no,False,unknown,5,may,349,1,-1,0,unknown,False
78,49,services,divorced,secondary,False,0,yes,True,unknown,5,may,272,1,-1,0,unknown,False
79,55,services,divorced,secondary,True,1,yes,False,unknown,5,may,208,1,-1,0,unknown,False
80,45,administrative,single,secondary,False,206,yes,False,unknown,5,may,193,1,-1,0,unknown,False
81,47,services,divorced,secondary,False,164,no,False,unknown,5,may,212,1,-1,0,unknown,False
82,42,technician,single,secondary,False,690,yes,False,unknown,5,may,20,1,-1,0,unknown,False
83,59,administrative,married,secondary,False,2343,yes,False,unknown,5,may,1042,1,-1,0,unknown,True
84,46,self-employed,married,tertiary,False,137,yes,True,unknown,5,may,246,1,-1,0,unknown,False
85,51,blue-collar,married,primary,False,173,yes,False,unknown,5,may,529,2,-1,0,unknown,False
86,56,administrative,married,secondary,False,45,no,False,unknown,5,may,1467,1,-1,0,unknown,True
87,41,technician,married,secondary,False,1270,yes,False,unknown,5,may,-1389,1,-1,0,unknown,True
88,46,management,divorced,secondary,False,16,yes,True,unknown,5,may,188,2,-1,0,unknown,False
89,57,retired,married,secondary,False,486,yes,False,unknown,5,may,180,2,-1,0,unknown,False
90,42,management,single,secondary,False,50,no,False,unknown,5,may,48,1,-1,0,unknown,False
91,30,technician,married,secondary,False,152,yes,True,unknown,5,may,213,2,-1,0,unknown,False
92,60,administrative,married,secondary,False,290,yes,False,unknown,5,may,583,1,-1,0,unknown,False
93,60,blue-collar,married,unknown,False,54,yes,False,unknown,5,may,221,1,-1,0,unknown,False
94,57,entrepreneur,divorced,secondary,False,-37,no,False,unknown,5,may,173,1,-1,0,unknown,False
95,36,management,married,tertiary,False,101,yes,True,unknown,5,may,426,1,-1,0,unknown,False
96,55,blue-collar,married,secondary,False,383,no,False,unknown,5,may,287,1,-1,0,unknown,False
97,60,retired,married,tertiary,False,81,yes,False,unknown,5,may,101,1,-1,0,unknown,False
98,39,technician,married,secondary,False,0,yes,False,unknown,5,may,203,1,-1,0,unknown,False
99,46,management,married,tertiary,False,229,yes,False,unknown,5,may,197,1,-1,0,unknown,False
100,44,blue-collar,married,secondary,False,-674,yes,False,unknown,5,may,257,1,-1,0,unknown,False
101,53,blue-collar,married,primary,False,90,no,False,unknown,5,may,124,1,-1,0,unknown,False
102,52,blue-collar,married,primary,False,128,yes,False,unknown,5,may,229,1,-1,0,unknown,False
103,59,blue-collar,married,primary,False,179,yes,False,unknown,5,may,55,3,-1,0,unknown,False
104,27,technician,single,tertiary,False,0,yes,False,unknown,5,may,400,1,-1,0,unknown,False
105,44,blue-collar,married,secondary,False,54,yes,False,unknown,5,may,197,1,-1,0,unknown,False
106,47,technician,married,tertiary,False,151,yes,False,unknown,5,may,190,1,-1,0,unknown,False
107,34,administrative,married,secondary,False,61,no,True,unknown,5,may,21,1,-1,0,unknown,False
108,59,retired,single,secondary,False,30,yes,False,unknown,5,may,514,1,-1,0,unknown,False
109,45,management,married,tertiary,False,523,yes,False,unknown,5,may,849,2,-1,0,unknown,False
110,29,services,divorced,secondary,False,31,yes,False,unknown,5,may,194,1,-1,0,unknown,False
111,46,technician,divorced,secondary,False,79,no,False,unknown,5,may,144,1,-1,0,unknown,False
112,56,self-employed,married,primary,False,-34,yes,True,unknown,5,may,212,2,-1,0,unknown,False
113,36,blue-collar,married,primary,False,448,yes,False,unknown,5,may,286,1,-1,0,unknown,False
114,59,retired,divorced,primary,False,81,yes,False,unknown,5,may,107,1,-1,0,unknown,False
115,44,blue-collar,married,secondary,False,144,yes,False,unknown,5,may,247,2,-1,0,unknown,False
116,41,administrative,married,secondary,False,351,yes,False,unknown,5,may,518,1,-1,0,unknown,False
117,33,management,single,tertiary,False,-67,yes,False,unknown,5,may,364,1,-1,0,unknown,False
118,59,management,divorced,tertiary,False,262,no,False,unknown,5,may,178,1,-1,0,unknown,False
119,57,technician,married,primary,False,0,no,False,unknown,5,may,98,1,-1,0,unknown,False
120,56,technician,divorced,unknown,False,56,yes,False,unknown,5,may,439,1,-1,0,unknown,False
121,51,blue-collar,married,secondary,False,26,yes,False,unknown,5,may,79,1,-1,0,unknown,False
122,34,administrative,married,unknown,False,3,yes,False,unknown,5,may,120,3,-1,0,unknown,False
123,43,services,married,secondary,False,41,yes,True,unknown,5,may,127,2,-1,0,unknown,False
124,52,technician,married,tertiary,False,7,no,True,unknown,5,may,175,1,-1,0,unknown,False
125,33,technician,single,secondary,False,105,yes,False,unknown,5,may,262,2,-1,0,unknown,False
126,29,administrative,single,secondary,False,818,yes,True,unknown,5,may,61,1,-1,0,unknown,False
127,34,services,married,secondary,False,-16,yes,True,unknown,5,may,78,1,-1,0,unknown,False
128,31,blue-collar,married,secondary,False,0,yes,False,unknown,5,may,143,1,-1,0,unknown,False
129,55,services,married,secondary,False,2476,yes,False,unknown,5,may,579,1,-1,0,unknown,True
130,55,management,married,unknown,False,1185,no,False,unknown,5,may,677,1,-1,0,unknown,False
131,32,administrative,single,secondary,False,217,yes,False,unknown,5,may,345,1,-1,0,unknown,False
132,38,technician,single,secondary,False,1685,yes,False,unknown,5,may,185,1,-1,0,unknown,False
133,55,administrative,single,secondary,False,802,yes,True,unknown,5,may,100,2,-1,0,unknown,False
134,28,unemployed,single,tertiary,False,0,yes,False,unknown,5,may,125,2,-1,0,unknown,False
135,23,blue-collar,married,secondary,False,94,yes,False,unknown,5,may,193,1,-1,0,unknown,False
136,32,technician,single,secondary,False,0,yes,False,unknown,5,may,136,1,-1,0,unknown,False
137,43,services,single,unknown,False,0,no,False,unknown,5,may,73,1,-1,0,unknown,False
138,32,blue-collar,married,secondary,False,517,yes,False,unknown,5,may,528,1,-1,0,unknown,False
139,46,blue-collar,married,secondary,False,265,yes,False,unknown,5,may,541,1,-1,0,unknown,False
140,53,housemaid,divorced,primary,False,947,yes,False,unknown,5,may,163,1,-1,0,unknown,False
141,34,self-employed,single,secondary,False,3,yes,False,unknown,5,may,301,1,-1,0,unknown,False
142,57,unemployed,married,tertiary,False,42,no,False,unknown,5,may,46,1,-1,0,unknown,False
143,37,blue-collar,married,secondary,False,37,yes,False,unknown,5,may,204,1,-1,0,unknown,False
144,59,blue-collar,married,secondary,False,57,yes,False,unknown,5,may,98,1,-1,0,unknown,False
145,33,services,married,secondary,False,22,yes,False,unknown,5,may,71,1,-1,0,unknown,False
146,56,blue-collar,divorced,primary,False,8,yes,False,unknown,5,may,157,2,-1,0,unknown,False
147,48,unemployed,married,secondary,False,293,yes,False,unknown,5,may,243,1,-1,0,unknown,False
148,43,services,married,primary,False,3,yes,False,unknown,5,may,186,2,-1,0,unknown,False
149,54,blue-collar,married,primary,False,348,yes,False,unknown,5,may,579,2,-1,0,unknown,False
150,51,blue-collar,married,unknown,False,-19,yes,False,unknown,5,may,163,2,-1,0,unknown,False
151,26,student,single,secondary,False,0,yes,False,unknown,5,may,610,2,-1,0,unknown,False
152,40,management,married,tertiary,False,-4,yes,False,unknown,5,may,2033,1,-1,0,unknown,False
153,39,management,married,secondary,False,18,yes,False,unknown,5,may,85,1,-1,0,unknown,False
154,50,technician,married,primary,False,139,no,False,unknown,5,may,114,2,-1,0,unknown,False
155,41,services,married,secondary,False,0,yes,False,unknown,5,may,114,2,-1,0,unknown,False
156,51,blue-collar,married,unknown,False,1883,yes,False,unknown,5,may,57,1,-1,0,unknown,False
157,60,retired,divorced,secondary,False,216,yes,False,unknown,5,may,238,1,-1,0,unknown,False
158,52,blue-collar,married,secondary,False,782,yes,False,unknown,5,may,93,3,-1,0,unknown,False
159,48,blue-collar,married,secondary,False,904,yes,False,unknown,5,may,128,2,-1,0,unknown,False
160,48,services,married,unknown,False,1705,yes,False,unknown,5,may,107,1,-1,0,unknown,False
161,39,technician,single,tertiary,False,47,yes,False,unknown,5,may,181,1,-1,0,unknown,False
162,47,services,single,secondary,False,176,yes,False,unknown,5,may,303,2,-1,0,unknown,False
163,40,blue-collar,married,secondary,False,1225,yes,False,unknown,5,may,558,5,-1,0,unknown,False
164,45,technician,married,secondary,False,86,yes,False,unknown,5,may,270,1,-1,0,unknown,False
165,26,administrative,single,secondary,False,82,yes,False,unknown,5,may,228,1,-1,0,unknown,False
166,52,management,married,tertiary,False,271,yes,False,unknown,5,may,99,1,-1,0,unknown,False
167,54,technician,married,secondary,False,1378,yes,False,unknown,5,may,240,1,-1,0,unknown,False
168,54,administrative,married,tertiary,False,184,no,False,unknown,5,may,673,2,-1,0,unknown,True
169,50,blue-collar,married,primary,False,0,no,False,unknown,5,may,233,3,-1,0,unknown,False
170,35,blue-collar,married,secondary,False,0,yes,False,unknown,5,may,1056,1,-1,0,unknown,False
171,44,services,married,secondary,False,1357,yes,True,unknown,5,may,250,1,-1,0,unknown,False
172,53,entrepreneur,married,unknown,False,19,yes,False,unknown,5,may,252,1,-1,0,unknown,False
173,35,retired,single,primary,False,434,no,False,unknown,5,may,138,1,-1,0,unknown,False
174,60,administrative,divorced,secondary,False,92,yes,False,unknown,5,may,130,1,-1,0,unknown,False
175,53,administrative,divorced,secondary,False,1151,yes,False,unknown,5,may,412,1,-1,0,unknown,False
176,48,unemployed,married,secondary,False,41,yes,False,unknown,5,may,179,2,-1,0,unknown,False
177,34,technician,married,secondary,False,51,yes,False,unknown,5,may,19,2,-1,0,unknown,False
178,54,services,married,secondary,False,214,yes,False,unknown,5,may,458,2,-1,0,unknown,False
179,51,management,married,secondary,False,1161,yes,False,unknown,5,may,717,1,-1,0,unknown,False
180,31,services,married,tertiary,False,37,yes,False,unknown,5,may,313,1,-1,0,unknown,False
181,35,technician,divorced,secondary,False,787,yes,False,unknown,5,may,683,2,-1,0,unknown,False
182,35,services,married,secondary,False,59,yes,False,unknown,5,may,1077,1,-1,0,unknown,False
183,38,technician,married,secondary,False,253,yes,False,unknown,5,may,416,1,-1,0,unknown,False
184,36,administrative,married,tertiary,False,211,yes,False,unknown,5,may,146,2,-1,0,unknown,False
185,58,retired,married,primary,False,235,yes,False,unknown,5,may,167,1,-1,0,unknown,False
186,40,services,divorced,unknown,False,4384,yes,False,unknown,5,may,315,1,-1,0,unknown,False
187,54,management,married,secondary,False,4080,no,False,unknown,5,may,140,1,-1,0,unknown,False
188,34,blue-collar,single,secondary,False,53,yes,True,unknown,5,may,346,1,-1,0,unknown,False
189,31,management,single,tertiary,False,0,yes,False,unknown,5,may,562,1,-1,0,unknown,False
190,51,retired,married,secondary,False,2127,yes,False,unknown,5,may,172,1,-1,0,unknown,False
191,33,management,married,tertiary,False,377,yes,False,unknown,5,may,217,1,-1,0,unknown,False
192,55,management,married,tertiary,False,73,yes,False,unknown,5,may,142,2,-1,0,unknown,False
193,42,administrative,married,secondary,False,445,yes,False,unknown,5,may,67,1,-1,0,unknown,False
194,34,blue-collar,married,secondary,False,243,yes,False,unknown,5,may,291,1,-1,0,unknown,False
195,33,blue-collar,single,secondary,False,307,yes,False,unknown,5,may,309,2,-1,0,unknown,False
196,38,services,married,secondary,False,155,yes,False,unknown,5,may,248,1,-1,0,unknown,False
197,50,technician,divorced,tertiary,False,173,no,True,unknown,5,may,98,1,-1,0,unknown,False
198,43,management,married,tertiary,False,400,yes,False,unknown,5,may,256,1,-1,0,unknown,False
199,61,blue-collar,divorced,primary,False,1428,yes,False,unknown,5,may,82,2,-1,0,unknown,False
200,47,administrative,married,secondary,False,219,yes,False,unknown,5,may,577,1,-1,0,unknown,False
201,48,self-employed,married,tertiary,False,7,yes,False,unknown,5,may,286,1,-1,0,unknown,False
202,44,blue-collar,married,secondary,False,575,yes,False,unknown,5,may,477,1,-1,0,unknown,False
203,35,student,single,unknown,False,298,yes,False,unknown,5,may,611,2,-1,0,unknown,False
204,35,services,married,secondary,False,0,yes,False,unknown,5,may,471,1,-1,0,unknown,False
205,50,services,married,secondary,False,5699,yes,False,unknown,5,may,381,2,-1,0,unknown,False
206,41,management,married,tertiary,False,176,yes,True,unknown,5,may,42,1,-1,0,unknown,False
207,41,management,married,tertiary,False,517,yes,False,unknown,5,may,251,1,-1,0,unknown,False
208,39,services,single,unknown,False,257,yes,False,unknown,5,may,408,1,-1,0,unknown,False
209,42,retired,married,secondary,False,56,yes,False,unknown,5,may,215,1,-1,0,unknown,False
210,38,blue-collar,married,secondary,False,-390,yes,False,unknown,5,may,287,1,-1,0,unknown,False
211,53,retired,married,secondary,False,330,yes,False,unknown,5,may,216,2,-1,0,unknown,False
212,59,housemaid,divorced,primary,False,195,no,False,unknown,5,may,366,2,-1,0,unknown,False
213,36,services,married,secondary,False,301,yes,False,unknown,5,may,210,1,-1,0,unknown,False
214,54,blue-collar,married,primary,False,-41,yes,False,unknown,5,may,288,1,-1,0,unknown,False
215,40,technician,married,tertiary,False,483,yes,False,unknown,5,may,168,1,-1,0,unknown,False
216,47,unknown,married,unknown,False,28,no,False,unknown,5,may,338,2,-1,0,unknown,False
217,53,unemployed,married,unknown,False,13,no,False,unknown,5,may,410,3,-1,0,unknown,False
218,46,housemaid,married,primary,False,965,no,False,unknown,5,may,177,1,-1,0,unknown,False
219,39,management,married,tertiary,False,378,yes,True,unknown,5,may,127,2,-1,0,unknown,False
220,40,unemployed,married,secondary,False,219,yes,False,unknown,5,may,357,1,-1,0,unknown,False
221,28,blue-collar,married,primary,False,324,yes,False,unknown,5,may,175,1,-1,0,unknown,False
222,35,entrepreneur,divorced,secondary,False,-69,yes,False,unknown,5,may,300,1,-1,0,unknown,False
223,55,retired,married,secondary,False,0,no,True,unknown,5,may,136,1,-1,0,unknown,False
224,43,technician,divorced,unknown,False,205,yes,False,unknown,5,may,1419,1,-1,0,unknown,False
225,48,blue-collar,married,primary,False,278,yes,False,unknown,5,may,125,2,-1,0,unknown,False
226,58,management,married,unknown,False,1065,yes,False,unknown,5,may,213,3,-1,0,unknown,False
227,33,management,single,tertiary,False,34,yes,False,unknown,5,may,27,1,-1,0,unknown,False
228,36,blue-collar,married,unknown,False,1033,no,False,unknown,5,may,238,2,-1,0,unknown,False
230,47,blue-collar,married,primary,False,-12,yes,False,unknown,5,may,18,1,-1,0,unknown,False
231,31,services,married,secondary,False,388,yes,False,unknown,5,may,730,2,-1,0,unknown,False
232,57,entrepreneur,married,secondary,False,294,yes,False,unknown,5,may,746,2,-1,0,unknown,False
233,53,blue-collar,married,unknown,False,1827,no,False,unknown,5,may,121,1,-1,0,unknown,False
234,55,blue-collar,married,primary,False,627,yes,False,unknown,5,may,247,1,-1,0,unknown,False
235,45,blue-collar,married,primary,False,25,yes,False,unknown,5,may,40,1,-1,0,unknown,False
236,53,administrative,divorced,secondary,False,315,yes,False,unknown,5,may,181,2,-1,0,unknown,False
237,37,blue-collar,married,primary,False,0,yes,False,unknown,5,may,79,1,-1,0,unknown,False
238,44,administrative,divorced,secondary,False,66,yes,False,unknown,5,may,206,1,-1,0,unknown,False
239,49,blue-collar,divorced,primary,False,-9,yes,True,unknown,5,may,389,1,-1,0,unknown,False
240,46,technician,married,secondary,False,349,yes,True,unknown,5,may,127,1,-1,0,unknown,False
241,43,entrepreneur,married,unknown,False,100,yes,False,unknown,5,may,702,1,-1,0,unknown,False
242,38,administrative,married,secondary,False,0,no,False,unknown,5,may,151,1,-1,0,unknown,False
243,43,technician,married,secondary,False,434,yes,False,unknown,5,may,117,1,-1,0,unknown,False
244,49,management,married,tertiary,False,3237,yes,False,unknown,5,may,232,3,-1,0,unknown,False
245,42,management,married,unknown,False,275,no,False,unknown,5,may,408,2,-1,0,unknown,False
246,22,blue-collar,single,secondary,False,0,yes,False,unknown,5,may,179,2,-1,0,unknown,False
247,40,management,married,tertiary,False,207,yes,False,unknown,5,may,39,1,-1,0,unknown,False
248,39,blue-collar,married,secondary,False,483,yes,False,unknown,5,may,282,1,-1,0,unknown,False
249,51,services,married,secondary,False,2248,yes,False,unknown,5,may,714,2,-1,0,unknown,False
250,49,administrative,married,secondary,False,428,yes,False,unknown,5,may,50,1,-1,0,unknown,False
251,53,blue-collar,married,secondary,False,0,yes,True,unknown,5,may,181,1,-1,0,unknown,False
252,34,services,single,secondary,False,0,yes,False,unknown,5,may,142,1,-1,0,unknown,False
253,33,technician,divorced,secondary,False,140,yes,False,unknown,5,may,227,1,-1,0,unknown,False
254,50,management,single,tertiary,False,297,yes,False,unknown,5,may,119,1,-1,0,unknown,False
255,39,blue-collar,married,primary,False,279,yes,False,unknown,5,may,361,1,-1,0,unknown,False
256,59,entrepreneur,divorced,secondary,False,901,yes,False,unknown,5,may,73,3,-1,0,unknown,False
257,30,technician,single,secondary,False,2573,yes,False,unknown,5,may,67,2,-1,0,unknown,False
258,36,services,married,secondary,False,143,yes,True,unknown,5,may,350,1,-1,0,unknown,False
259,40,blue-collar,married,secondary,False,475,yes,False,unknown,5,may,332,2,-1,0,unknown,False
260,53,blue-collar,married,secondary,False,70,yes,False,unknown,5,may,611,2,-1,0,unknown,False
261,34,management,single,tertiary,False,318,yes,False,unknown,5,may,113,2,-1,0,unknown,False
262,37,technician,married,secondary,False,275,yes,False,unknown,5,may,132,1,-1,0,unknown,False
263,42,management,divorced,tertiary,False,742,yes,False,unknown,5,may,58,3,-1,0,unknown,False
264,41,entrepreneur,married,primary,False,236,yes,False,unknown,5,may,151,1,-1,0,unknown,False
265,30,student,single,tertiary,False,25,yes,False,unknown,5,may,89,2,-1,0,unknown,False
266,37,management,single,tertiary,False,600,yes,False,unknown,5,may,152,1,-1,0,unknown,False
267,39,administrative,divorced,secondary,False,-349,yes,False,unknown,5,may,611,2,-1,0,unknown,False
268,41,blue-collar,married,primary,False,183,yes,True,unknown,5,may,110,2,-1,0,unknown,False
269,40,blue-collar,married,primary,False,0,yes,False,unknown,5,may,463,1,-1,0,unknown,False
270,42,management,single,tertiary,False,0,yes,True,unknown,5,may,562,2,-1,0,unknown,True
271,40,blue-collar,divorced,primary,False,0,yes,False,unknown,5,may,962,1,-1,0,unknown,False
272,57,technician,married,secondary,False,1078,yes,False,unknown,5,may,10,4,-1,0,unknown,False
273,56,entrepreneur,divorced,secondary,False,155,no,False,unknown,5,may,118,3,-1,0,unknown,False
274,37,administrative,married,secondary,False,190,yes,False,unknown,5,may,92,2,-1,0,unknown,False
275,59,retired,married,secondary,False,319,yes,False,unknown,5,may,143,3,-1,0,unknown,False
276,39,services,divorced,secondary,False,-185,yes,False,unknown,5,may,189,3,-1,0,unknown,False
277,49,services,married,secondary,False,47,no,False,unknown,5,may,234,2,-1,0,unknown,False
278,38,services,single,secondary,False,570,yes,False,unknown,5,may,75,2,-1,0,unknown,False
279,36,self-employed,married,tertiary,False,19,no,False,unknown,5,may,189,2,-1,0,unknown,False
280,50,blue-collar,married,primary,False,61,yes,False,unknown,5,may,621,3,-1,0,unknown,False
281,41,administrative,married,secondary,False,-62,yes,True,unknown,5,may,55,2,-1,0,unknown,False
282,54,technician,married,tertiary,False,258,no,False,unknown,5,may,310,4,-1,0,unknown,False
283,58,blue-collar,married,primary,False,76,yes,False,unknown,5,may,156,2,-1,0,unknown,False
284,30,blue-collar,single,secondary,False,0,yes,False,unknown,5,may,5,2,-1,0,unknown,False
285,33,administrative,single,secondary,False,352,yes,False,unknown,5,may,225,2,-1,0,unknown,False
286,47,administrative,married,secondary,False,368,yes,False,unknown,5,may,125,2,-1,0,unknown,False
287,50,technician,single,tertiary,False,339,yes,False,unknown,5,may,2,3,-1,0,unknown,False
288,32,blue-collar,married,secondary,False,1331,yes,False,unknown,5,may,286,2,-1,0,unknown,False
289,40,self-employed,married,secondary,False,672,yes,False,unknown,5,may,164,2,-1,0,unknown,False
290,37,management,married,tertiary,False,58,yes,False,unknown,5,may,98,2,-1,0,unknown,False
291,54,technician,single,unknown,False,447,yes,False,unknown,5,may,742,2,-1,0,unknown,False
292,24,student,single,secondary,False,423,yes,False,unknown,5,may,226,3,-1,0,unknown,False
293,54,management,married,tertiary,False,0,no,False,unknown,5,may,120,2,-1,0,unknown,False
294,34,technician,married,secondary,False,19,yes,False,unknown,5,may,362,4,-1,0,unknown,False
295,56,technician,divorced,primary,False,13,yes,False,unknown,5,may,357,2,-1,0,unknown,False
296,31,blue-collar,single,secondary,False,3,yes,False,unknown,5,may,200,2,-1,0,unknown,False
297,24,student,single,secondary,False,82,yes,False,unknown,5,may,204,2,-1,0,unknown,False
298,42,blue-collar,divorced,primary,False,28,yes,False,unknown,5,may,126,3,-1,0,unknown,False
299,57,technician,married,secondary,False,792,yes,False,unknown,5,may,65,2,-1,0,unknown,False
300,42,blue-collar,married,unknown,False,408,yes,False,unknown,5,may,107,2,-1,0,unknown,False
